word	shaw	ipa	pos	var	confidence	notes
mariah	𐑥𐑼𐑲𐑩	məraɪə	UNC	RSSB	89	shave_says:𐑥𐑺𐑾
marylebone	𐑥𐑨𐑮𐑦𐑚𐑩𐑯	mærɪbən	UNC	RSSB	89	shave_says:𐑥𐑸𐑤𐑦𐑚𐑩𐑯
marylebone	𐑥𐑨𐑮𐑦𐑤𐑦𐑚𐑴𐑯	mærɪlɪbəʊn	UNC	RSSB	89	shave_says:𐑥𐑸𐑤𐑦𐑚𐑩𐑯
marylebone	𐑥𐑨𐑮𐑦𐑤𐑩𐑚𐑩𐑯	mærɪləbən	UNC	RSSB	89	shave_says:𐑥𐑸𐑤𐑦𐑚𐑩𐑯
maven	𐑥𐑱𐑝𐑩𐑯	mˈeɪvən	UNC	RSSB	89	shave_says:𐑥𐑱𐑝𐑦𐑯
maxwell	𐑥𐑨𐑒𐑕𐑢𐑩𐑤	mˈækswəl	UNC	RSSB	89	shave_says:𐑥𐑨𐑒𐑕𐑢𐑧𐑤
mazda	𐑥𐑨𐑟𐑛𐑩	mˈæzdə	UNC	RSSB	89	shave_says:𐑥𐑭𐑟𐑛𐑩
meow	𐑥𐑦𐑬	mɪˈaʊ	UNC	RSSB	89	shave_says:𐑥𐑰𐑬
mercedes	𐑥𐑼𐑕𐑱𐑛𐑰𐑟	məRseɪdiːz	UNC	RSSB	89	shave_says:𐑥𐑻𐑕𐑱𐑛𐑦𐑟
merseyside	𐑥𐑻𐑟𐑦𐑕𐑲𐑛	mɜːRzɪsaɪd	UNC	RSSB	89	shave_says:𐑥𐑻𐑕𐑦𐑕𐑲𐑛
mhm	𐑩𐑥𐑣𐑩𐑥	əmhəm	UNC	RSSB	89	shave_says:mhm
mia	𐑥𐑰𐑩	mˈiːə	UNC	RSSB	89	shave_says:𐑥𐑾
mitsubishi	𐑥𐑦𐑑𐑕𐑫𐑚𐑦𐑖𐑦	mˌɪtsʊbˈɪʃi	UNC	RSSB	89	shave_says:𐑥𐑦𐑑𐑕𐑵𐑚𐑰𐑖𐑦
