word	shaw	ipa	pos	var	confidence
-semide	𐑕𐑩𐑥𐑲𐑛	səˌmaɪd	UNC	RGAM	high
-serod	𐑕𐑼𐑪𐑛	sərɒd	UNC	RSSB	high
-serpine	𐑕𐑻𐑐𐑰𐑯	sɜːRpiːn	UNC	RSSB	high
-setron	𐑕𐑩𐑑𐑮𐑪𐑯	sətrɒn	UNC	RSSB	high
-shire	-𐑖𐑲𐑼	-ʃaɪəR	UNC	RSSB	high
-shire	-𐑖𐑼	-ʃəR	UNC	RSSB	high
-shire	-𐑖𐑽	-ʃɪəR	UNC	RSSB	high
-sky	-𐑕𐑒𐑦	-ski	UNC	RGAM	high
-sky	-𐑕𐑒𐑰	-skiː	UNC	RSSB	high
-speak	-𐑕𐑐𐑦𐑒	-ˌspik	UNC	RGAM	high
-speak	-𐑕𐑐𐑰𐑒	-ˌspiːk	UNC	RSSB	high
-spirone	𐑕𐑐𐑦𐑮𐑴𐑯	spɪrəʊn	UNC	RSSB	high
