type	word	pos	var	ipa	shaw_fragment	full_ipa	full_shaw	confidence
affix	-opamine	UNC	GenAm	ˈoʊpəˌmin	𐑴𐑐𐑩𐑥𐑦𐑯			89
affix	-opsia	UNC	RSSB	ˈɒpsɪə	𐑪𐑐𐑕𐑾			89
affix	-or	UNC	RSSB	əR	𐑼	ɔːr	𐑹	89
affix	-or	UNC	GenAm	əR	𐑼	or	𐑪𐑮	89
affix	-orium	UNC	RSSB	ɔːrɪəm	𐑹𐑾𐑥			89
affix	-orph-	UNC	RSSB	ɔːRf	𐑹𐑓			89
affix	-orph-	UNC	GenAm	ɔːRf	𐑹𐑓			89
affix	-orphan	UNC	RSSB	ɔːRfan	𐑹𐑓𐑨𐑯	ɔːRfən	𐑹𐑓𐑩𐑯	89
affix	-orphan	UNC	GenAm	ˈɔːRˌfæn	𐑹𐑓𐑨𐑯	ˈɔːRfən	𐑹𐑓𐑩𐑯	89
affix	-orphine	UNC	RSSB	ɔːRfiːn	𐑹𐑓𐑰𐑯			89
affix	-orphine	UNC	GenAm	ˈɔːRˌfin	𐑹𐑓𐑦𐑯			89
affix	-orphone	UNC	RSSB	ɔːRfəʊn	𐑹𐑓𐑴𐑯			89
affix	-orphone	UNC	GenAm	ˈɔːRˌfoʊn	𐑹𐑓𐑴𐑯			89
affix	-ose	UNC	RSSB	-əʊs	-𐑴𐑕			89
affix	-ose	UNC	GenAm	-oʊs	-𐑴𐑕			89
affix	-ose	UNC	RSSB	-əʊz	-𐑴𐑟			97
affix	-ose	UNC	GenAm	-oʊz	-𐑴𐑟			97
