word	pos	var	shaw	ipa	confidence	source	status	readlex_var	shaw_override	pos_override	var_override	verdict	notes
7-Eleven	AJ0	GenAm	𐑕𐑧𐑝𐑩𐑯 𐑩𐑤𐑧𐑝𐑩𐑯	ˌsevən əˈlevən	10	wiktionary	new						numeral; shave_says:7-·𐑦𐑤𐑧𐑝𐑩𐑯
7-Eleven	NN1	GenAm	𐑕𐑧𐑝𐑩𐑯 𐑩𐑤𐑧𐑝𐑩𐑯	ˌsevən əˈlevən	10	wiktionary	new						numeral; shave_says:7-·𐑦𐑤𐑧𐑝𐑩𐑯
7-Eleven	NP0	GenAm	𐑕𐑧𐑝𐑩𐑯 𐑩𐑤𐑧𐑝𐑩𐑯	ˌsevən əˈlevən	10	wiktionary	new						numeral; shave_says:7-·𐑦𐑤𐑧𐑝𐑩𐑯
747	NN1	GenAm	𐑕𐑧𐑝𐑩𐑯𐑓𐑹𐑑𐑦𐑕𐑧𐑝𐑩𐑯	ˌsevənfɔːRtiˈsevən	10	wiktionary	new						numeral; shave_says:747
747	NN1	RSSB	𐑕𐑧𐑝𐑩𐑯𐑓𐑷𐑕𐑧𐑝𐑩𐑯	ˌsevənfɔːˈsevən	10	wiktionary	new						numeral; shave_says:747
9/11	NN1	RSSB	𐑯𐑲𐑯𐑩𐑤𐑧𐑝𐑩𐑯	naɪnəˈlevən	10	wordnet	new						numeral; shave_says:9/11
911	NN1	GenAm	𐑯𐑲𐑯 𐑢𐑳𐑯 𐑢𐑳𐑯	ˌnaɪn wʌn ˈwʌn	10	wiktionary	new						numeral; shave_says:911
911	NP0	GenAm	𐑯𐑲𐑯 𐑢𐑳𐑯 𐑢𐑳𐑯	ˌnaɪn wʌn ˈwʌn	10	wiktionary	new						numeral; shave_says:911
911	NP0	GenAm	𐑯𐑲𐑯 𐑩𐑤𐑧𐑝𐑩𐑯	ˈnaɪn əˌlevən	10	wiktionary	new						numeral; shave_says:911
911	VVI	GenAm	𐑯𐑲𐑯 𐑢𐑳𐑯 𐑢𐑳𐑯	ˌnaɪn wʌn ˈwʌn	10	wiktionary	new						numeral; shave_says:911
999	NN1	RSSB	𐑯𐑲𐑯𐑯𐑲𐑯𐑯𐑲𐑯	naɪnnaɪnnaɪn	10	wiktionary	new						numeral; shave_says:999
999	NN1	RSSB	𐑑𐑮𐑦𐑐𐑩𐑤𐑯𐑲𐑯	trɪpəlnaɪn	10	wiktionary	new						numeral; shave_says:999
999	NN1	RSSB	𐑯𐑲𐑯𐑟	naɪnz	10	wiktionary	new						numeral; shave_says:999
999	NP0	RSSB	𐑯𐑲𐑯𐑯𐑲𐑯𐑯𐑲𐑯	naɪnnaɪnnaɪn	10	wiktionary	new						numeral; shave_says:999
999	NP0	RSSB	𐑑𐑮𐑦𐑐𐑩𐑤𐑯𐑲𐑯	trɪpəlnaɪn	10	wiktionary	new						numeral; shave_says:999
999	NP0	RSSB	𐑯𐑲𐑯𐑟	naɪnz	10	wiktionary	new						numeral; shave_says:999
a	AJ0	RSSB	𐑷	ɔ	89	wiktionary	supplement						
a	AV0	RSSB	𐑷	ɔ	89	wiktionary	supplement						
a	PNP	RSSB	𐑳	ʌ	89	wiktionary	supplement						
a	PNP	RSSB	𐑭	ɑː	89	wiktionary	supplement						
a bene placito	AV0	CotCaught	𐑷 𐑚𐑧𐑯𐑦 𐑐𐑤𐑷𐑗𐑩𐑑𐑴	ɒ ˈbeni ˈplɒtʃəˌtoʊ	89	wiktionary	new						cot-caught variant of GenAm 𐑪 𐑚𐑧𐑯𐑦 𐑐𐑤𐑪𐑗𐑩𐑑𐑴
a bene placito	AV0	GenAm	𐑪 𐑚𐑧𐑯𐑦 𐑐𐑤𐑪𐑗𐑩𐑑𐑴	ɒ ˈbeni ˈplɒtʃəˌtoʊ	89	wiktionary	new						
a cappella	AJ0	CotCaught	𐑷 𐑒𐑩𐑐𐑧𐑤𐑩	ˌɒ kəˈpelə	89	wiktionary	new						cot-caught variant of GenAm 𐑪 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella	AJ0	GenAm	𐑪 𐑒𐑩𐑐𐑧𐑤𐑩	ˌɒ kəˈpelə	89	wiktionary	new						
a cappella	AJ0	RSSB	𐑨𐑒𐑩𐑐𐑧𐑤𐑩	ˌækəˈpelə	89	wiktionary	new						
a cappella	AJ0	RSSB	𐑨𐑒𐑨𐑐𐑧𐑤𐑩	ˌækæˈpelə	89	wiktionary	new						
